Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Southeast Fairbanks,,Female,Asian and Pacific Islander
AK,Valdez-Cordova,160.8,Female,Asian and Pacific Islander
AK,Wade Hampton,,Female,Asian and Pacific Islander
AK,Wrangell-Petersburg,,Female,Asian and Pacific Islander
AK,Yakutat,,Female,Asian and Pacific Islander
AK,Yukon-Koyukuk,,Female,Asian and Pacific Islander
AK,Aleutians East,,Overall,American Indian and Alaskan Native
AK,Aleutians West,,Overall,American Indian and Alaskan Native
AK,Anchorage,477.9,Overall,American Indian and Alaskan Native
AK,Bethel,391.9,Overall,American Indian and Alaskan Native
AK,Bristol Bay,,Overall,American Indian and Alaskan Native
AK,Denali,406.5,Overall,American Indian and Alaskan Native
AK,Dillingham,456.8,Overall,American Indian and Alaskan Native
AK,Fairbanks North Star,379.6,Overall,American Indian and Alaskan Native
AK,Haines,551.3,Overall,American Indian and Alaskan Native
AK,Juneau,551.3,Overall,American Indian and Alaskan Native
AK,Kenai Peninsula,509.4,Overall,American Indian and Alaskan Native
AK,Ketchikan Gateway,,Overall,American Indian and Alaskan Native
AK,Kodiak Island,584.2,Overall,American Indian and Alaskan Native
AK,Lake and Peninsula,482.9,Overall,American Indian and Alaskan Native
AK,Matanuska-Susitna,325.4,Overall,American Indian and Alaskan Native
AK,Nome,431.7,Overall,American Indian and Alaskan Native
AK,North Slope,380.8,Overall,American Indian and Alaskan Native
AK,Northwest Arctic,411.3,Overall,American Indian and Alaskan Native
AK,Prince of Wales-Outer Ketchikan,,Overall,American Indian and Alaskan Native
AK,Sitka,,Overall,American Indian and Alaskan Native
AK,Skagway-Hoonah-Angoon,,Overall,American Indian and Alaskan Native
AK,Southeast Fairbanks,336,Overall,American Indian and Alaskan Native
AK,Valdez-Cordova,439.3,Overall,American Indian and Alaskan Native
AK,Wade Hampton,417.1,Overall,American Indian and Alaskan Native
AK,Wrangell-Petersburg,,Overall,American Indian and Alaskan Native
AK,Yakutat,,Overall,American Indian and Alaskan Native
AK,Yukon-Koyukuk,384.4,Overall,American Indian and Alaskan Native
AK,Aleutians East,,Male,American Indian and Alaskan Native
AK,Aleutians West,,Male,American Indian and Alaskan Native
AK,Anchorage,789,Male,American Indian and Alaskan Native
AK,Bethel,570.8,Male,American Indian and Alaskan Native
AK,Bristol Bay,,Male,American Indian and Alaskan Native
AK,Denali,594.5,Male,American Indian and Alaskan Native
AK,Dillingham,598,Male,American Indian and Alaskan Native
AK,Fairbanks North Star,524.1,Male,American Indian and Alaskan Native
AK,Haines,,Male,American Indian and Alaskan Native
AK,Juneau,,Male,American Indian and Alaskan Native
